week,2021,2022,2023
0,0,0,0
1,21955,9122,18524
2,46895,17436,30186
3,73700,25756,37093
4,95564,36058,41755
5,111284,47027,46830
6,121914,54944,50917
7,130194,62165,55517
8,133147,65911,59238
9,134060,69805,62778
10,135858,74735,69164
11,137646,80263,73707
12,139949,86317,76324
13,143588,93483,77812
14,147154,101860,78018
15,150759,109080,79203
16,154898,113623,79352
17,158477,117751,79916
18,162567,121493,80019
19,163823,125377,80105
20,163964,128399,80591
21,164111,128165,80779
22,164796,130440,80816
23,165080,132711,80909
24,167945,138415,80984
25,168868,143581,81044
26,170788,149030,81293
27,172430,156015,81623
28,175304,166801,81719
29,180870,182717,81809
30,184927,194152,81837
31,190153,203510,82077
32,196638,213562,82468
33,201984,220676,84368
34,205706,224854,85181
35,210004,226879,85704
36,217251,229109,85783
37,220664,230312,86190
38,223057,233163,86774
39,226225,239370,87426
40,229317,246460,87778
41,234027,253821,88159
42,239804,261248,88570
43,247234,266815,90419
44,254005,268907,92086
45,263256,272303,93909
46,273509,276564,96401
47,286078,282471,99042
48,302016,290087,103806
49,317238,303183,109718
50,329860,321820,110656
